t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
3.632,-41.4745879092,1.5886270755,18.4604186065,0.2830052452,5.5740310025,-0.0008794698,0.0855057006,0.0735,-0.0496068993
3.64,-43.3169249997,0.0464171418,17.946922624,0.1447588758,5.7973683118,-0.1149613723,0.0855057006,0.0735,-0.0496068993
3.648,-47.4821279282,1.0021303231,19.2966805058,0.1482910034,6.3436980129,-0.3161668186,0.0855057006,0.0735,-0.0496068993
3.656,-44.9664787078,0.0092479283,18.8579306671,-0.0411345991,6.0095267255,-0.3565480555,0.0855057006,0.0735,-0.0496068993
3.664,-48.5412001417,0.2946512568,19.8036883171,-0.0186492617,6.4590101925,-0.4072343859,0.0855057006,0.0735,-0.0496068993
3.672,-51.9476074853,2.4864120772,23.9108390841,0.0449326738,6.8891006425,-0.6953613357,0.0855057006,0.0735,-0.0496068993
3.68,-59.3205251012,5.0518663155,27.1576564853,0.1626377591,7.8211989311,-0.9781356976,0.0855057006,0.0735,-0.0496068993
3.688,-64.0557977349,6.7745993619,29.3083616493,0.1852638902,8.4090068053,-1.1409660129,0.0855057006,0.0735,-0.0496068993
3.696,-65.278367192,10.4050641421,33.5905967151,0.427778616,8.5517414623,-1.38985327,0.0855057006,0.0735,-0.0496068992
3.704,-69.2494078084,15.3876359896,35.8768047387,0.9634617309,9.0254282209,-1.5116384612,0.0855057006,0.0735,-0.0496068992
3.712,-69.3930807048,15.8801648317,36.6891129169,0.9255940256,9.028659879,-1.4136888951,0.0855057005,0.0735,-0.0496068992
3.72,-72.3431660626,18.5130768249,39.3621442927,1.3555209891,9.3864620982,-1.2457195427,0.0855057005,0.0735,-0.0496068992
3.728,-76.3118426361,19.6246894035,43.1013157635,1.6429820005,9.876028473,-1.0019313896,0.0855057005,0.0735,-0.0496068992
3.736,-76.676567156,22.0561134407,45.6534319801,2.0770652478,9.9342640015,-1.0920430398,0.0855057005,0.0735,-0.0496068992
3.744,-77.6977231569,23.9938114638,45.9517323033,2.3850713786,10.135568083,-1.0070259977,0.0855057005,0.0735,-0.0496068992
