"id","type","i:0","i:1","i:2","v:0","v:1","v:2","f:0","f:1","f:2","radius","omega:0","omega:1","omega:2","Points:0","Points:1","Points:2"
1380,1,0,0,0,0.00012238,-3.4894e-05,7.6771e-13,1.2292e-20,-1.1473e-20,0,0.0075,0.0046526,0.016317,-0.01977,0.068444,-0.011382,-0.2375
263,1,0,0,0,-0.00015593,1.9139e-05,1.4255e-06,-0.019533,0.0030276,0.00040407,0.0075,-0.0024735,-0.021653,0.021675,0.08908,-0.010558,-0.2375
750,1,0,0,0,4.5056e-05,6.0234e-05,9.8273e-06,-0.026374,0.0081449,5.9965e-05,0.0075,-0.0080633,0.0057917,0.011494,0.10334,-0.002419,-0.23751
1755,1,0,0,0,-0.00016608,2.1227e-05,5.9832e-13,8.9076e-19,-1.0862e-19,0,0.0075,-0.0028303,-0.022144,0.02174,0.11626,-0.015023,-0.2375
1175,1,0,0,0,-0.00022952,0.00010957,-5.8734e-13,9.9796e-19,-1.8576e-18,0,0.0075,-0.014609,-0.030603,-0.0074349,0.12685,-0.0043851,-0.2375
81,1,0,0,0,-8.7333e-06,-5.0884e-06,1.886e-06,0.0017567,-0.01909,-0.014795,0.0075,0.00060598,-0.0011799,-0.0059315,-0.091733,0.0068756,-0.23751
250,1,0,0,0,-1.279e-05,2.8015e-06,-5.6866e-06,0.007735,0.026205,-0.0018225,0.0075,-0.00059445,-0.0013196,-0.0065838,-0.068847,0.010488,-0.23751
400,1,0,0,0,4.7277e-05,-1.2359e-05,-7.2897e-07,-0.01164,0.024076,-0.00082291,0.0075,0.0018855,0.006527,-0.0051639,-0.035946,0.0050636,-0.23751
1529,1,0,0,0,4.8491e-06,-3.6662e-05,2.9823e-06,0.0047618,0.017602,0.0052266,0.0075,0.004613,0.00066998,0.0060859,-0.019628,-0.0019014,-0.2375
967,1,0,0,0,-6.4053e-05,6.1569e-05,-1.0127e-06,-0.0015267,0.00069317,-0.00011326,0.0075,0.00030376,-0.0057322,0.0051115,-0.0024578,0.010694,-0.2375
803,1,0,0,0,5.6402e-06,-7.7e-06,2.5798e-06,0.0044524,0.0049818,0.0063819,0.0075,0.00099009,0.00080709,0.0022503,0.014386,0.0075764,-0.2375
1157,1,0,0,0,4.398e-05,2.3783e-05,1.2406e-06,0.011089,-0.013836,-0.0093515,0.0075,-0.0030696,0.0057889,0.013499,0.030521,0.0054747,-0.2375
