t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
5.024,-79.1421926232,-7.6564751487,40.1894781083,-0.8311054522,10.9511897899,0.667247134,0.113206416,0.0735,-0.0507594
5.032,-85.2839111148,-9.770741586,42.5211733615,-1.1553901962,11.7666379847,0.6958758792,0.113588208,0.0735,-0.05077324
5.04,-83.2294915103,-9.2239476535,37.8526383397,-1.2808969859,11.4427241569,0.5328278063,0.11397,0.0735,-0.05078708
5.048,-81.3215920162,-9.9314494895,36.1843600508,-1.3640815898,11.1364309683,0.5457180869,0.114351792,0.0735,-0.05080092
5.056,-81.3250044551,-12.9750564069,37.7064132838,-1.731309686,11.1572936968,0.5012035718,0.114733584,0.0735,-0.05081476
5.064,-83.2171723881,-14.5951288281,40.0465910897,-1.9673053232,11.4178483948,0.4827344396,0.115115376,0.0735,-0.0508286
5.072,-82.2920801556,-15.1495728336,40.8706883064,-2.0447879581,11.3050609537,0.468263567,0.115497168,0.0735,-0.05084244
5.08,-87.0541562682,-15.7954448575,43.599289143,-2.087586391,11.9328940672,0.4059800555,0.11587896,0.0735,-0.05085628
5.088,-93.6052598609,-17.2347948838,47.0808937345,-2.2538510251,12.739190867,0.2618573765,0.116260752,0.0735,-0.05087012
5.096,-97.4718975995,-18.4457527852,48.706049281,-2.3444370834,13.2098730536,0.2878736882,0.116642544,0.0735,-0.05088396
5.104,-90.1217724333,-17.1380937322,41.0847288057,-2.2068578876,12.1798591434,0.2621929075,0.117051232,0.0735,-0.05088636
5.112,-93.5415896317,-18.9498111075,43.0505931325,-2.3972712905,12.5490278038,-0.1033157206,0.117486816,0.0735,-0.05087732
5.12,-90.7690802999,-18.8699008215,43.3757357114,-2.3634947694,12.2030178875,-0.1405314865,0.1179224,0.0735,-0.05086828
5.128,-89.9346979947,-19.0724999929,42.5313443746,-2.4887627372,12.0709962815,-0.199588861,0.118357984,0.0735,-0.05085924
5.136,-89.2732795293,-17.0885583896,38.9849369786,-2.4057360449,11.9618296265,-0.4020460553,0.118793568,0.0735,-0.0508502
5.144,-84.73108562,-13.7182854338,35.5368086833,-2.2327834415,11.2431514761,-0.7768155617,0.119229152,0.0735,-0.05084116
5.152,-79.675841246,-11.2202147575,33.2117512534,-2.0026949372,10.6047541696,-0.9432392518,0.119664736,0.0735,-0.05083212
5.16,-75.7753153806,-7.1398795038,29.1704303486,-1.5035824199,10.1146755154,-1.031774737,0.12010032,0.0735,-0.05082308
5.168,-70.6324801793,-6.1413478976,28.5260441074,-1.3277240504,9.5205870309,-0.9638802956,0.120535904,0.0735,-0.05081404
5.176,-70.4204666265,-6.4675666431,27.4105686286,-1.2457602755,9.5002485937,-0.7661349659,0.120971488,0.0735,-0.050805
5.184,-69.6874052623,-7.3751082558,27.0259428419,-1.3222031882,9.4708854331,-0.4215478548,0.121407072,0.0735,-0.05079596
5.192,-59.6963774098,-10.3700645645,22.2103542942,-1.5800577796,8.1324706094,0.193415257,0.121842656,0.0735,-0.05078692
5.2,-54.1183807344,-10.7061451531,26.3004755674,-1.8507804546,7.3844869665,0.0968065852,0.12227824,0.0735,-0.05077788
5.208,-56.1756370557,-10.3283449496,30.3790916114,-2.0419235351,7.6676654404,-0.1316493842,0.122713824,0.0735,-0.05076884
5.216,-63.2970948097,-11.1805130649,35.6780256528,-2.3901778949,8.6172880692,-0.4345272793,0.123149408,0.0735,-0.0507598
5.224,-67.5657547858,-9.8459900409,39.7229972492,-2.4974362664,9.2855075575,-0.8213531264,0.123584992,0.0735,-0.05075076
5.232,-71.3802196569,-7.5444641193,41.104805506,-2.5018003321,9.8006717446,-0.959563669,0.124020576,0.0735,-0.05074172
5.24,-74.6277299399,-7.0459656522,43.548523762,-2.7181026533,10.2367662263,-1.0986790123,0.12445616,0.0735,-0.05073268
5.248,-74.1152729866,-4.1371122496,47.3846474893,-2.5534694048,10.1511567654,-1.0828964352,0.124891744,0.0735,-0.05072364
5.256,-69.9769918231,-6.1156424277,47.8973775217,-3.0709177904,9.6742887105,-1.2181399561,0.125327328,0.0735,-0.0507146
5.264,-70.635096463,-4.4846183687,48.7105903797,-2.8552757635,9.7985200876,-1.257904729,0.125762912,0.0735,-0.05070556
5.272,-70.8363214644,-4.3035071147,48.4356146073,-2.8447266782,9.7749829559,-1.0578155513,0.126198496,0.0735,-0.05069652
5.28,-69.1304154159,-4.1698673288,47.5582252594,-2.7447863105,9.5196341508,-0.8190009473,0.12663408,0.0735,-0.05068748
5.288,-67.0197378564,-4.9852945085,44.9825727844,-2.8317497781,9.0546789027,-0.5996442876,0.127069664,0.0735,-0.05067844
5.296,-61.4378920377,-2.7782758701,46.0194441405,-2.6696768192,8.4697275319,-0.6280337796,0.127505248,0.0735,-0.0506694
5.304,-59.0008289143,-0.786691124,44.9382049918,-2.4259275002,8.0680229111,-0.631532948,0.127940832,0.0735,-0.05066036
5.312,-52.9217711568,2.0752607752,42.7166394167,-2.0277091166,7.3312446948,-0.7373272561,0.128376416,0.0735,-0.05065132
5.32,-49.8198834912,2.4565862694,41.5178137998,-1.841089079,6.746979824,-0.263359262,0.128812,0.0735,-0.05064228
5.328,-45.7849068449,2.5010122113,40.3920952474,-1.7559693272,6.1956924378,-0.3398408441,0.129247584,0.0735,-0.05063324
5.336,-52.1536444004,-0.5712944156,37.2884523193,-1.9988179465,6.9067881074,-0.1051101559,0.129683168,0.0735,-0.0506242
5.344,-57.0136601741,1.059581707,35.3340668883,-1.4870492844,7.5466591617,-0.1372240919,0.130118752,0.0735,-0.05061516
5.352,-53.8127479746,1.8301311223,32.3673525343,-1.242792199,7.1471339139,-0.2053110475,0.130554336,0.0735,-0.05060612
5.36,-52.7287663078,1.1400183233,32.7954942276,-0.9773959145,7.0258947849,-0.136530344,0.13098992,0.0735,-0.05059708
5.368,-53.7642782386,2.8698118748,35.0888306893,-0.5630548581,7.2388387753,-0.3539288309,0.131425504,0.0735,-0.05058804
5.376,-55.3467388209,6.9859908313,29.6808185435,0.1588486189,7.3210634644,-0.3454928067,0.131861088,0.0735,-0.050579
5.384,-60.8152199419,3.2265963332,25.4199667328,0.1907378677,7.822942465,0.0771173915,0.132296672,0.0735,-0.05056996
5.392,-58.7547407034,0.797862963,19.2451152785,0.6801127752,7.584553314,0.3949650019,0.132732256,0.0735,-0.05056092
5.4,-60.4092659805,-0.1526945876,18.4517902927,0.5777708472,7.9182653385,0.4146364552,0.13316784,0.0735,-0.05055188
5.408,-65.3123394108,2.6754327428,21.9319596522,0.8682228182,8.4679699281,0.2826345642,0.133603424,0.0735,-0.05054284
5.416,-73.8493869518,2.7788439578,21.8526311684,0.8185065801,9.5152022405,0.3150367491,0.134039008,0.0735,-0.0505338
5.424,-78.5198125335,4.6434129293,28.8969572309,1.3638708674,10.2276373033,0.5247066871,0.134474592,0.0735,-0.05052476
5.432,-76.1533092994,1.0404708022,27.8933180295,1.0582820237,9.9798981341,0.849886162,0.134910176,0.0735,-0.05051572
5.44,-73.6656593099,-3.3227042608,26.3922625887,0.6397528871,9.6213163452,1.1433835128,0.13534576,0.0735,-0.05050668
5.448,-74.7641520895,-6.7105313906,28.9906350917,0.1765307693,9.8404487798,1.0116051116,0.135781344,0.0735,-0.05049764
5.456,-79.6125046759,-8.3878036469,31.6365960453,-0.1240003129,10.4567150984,0.9609479375,0.136216928,0.0735,-0.0504886
5.464,-80.3283149272,-7.9191356876,35.5874009608,-0.1356956618,10.6948838665,0.6940392402,0.136652512,0.0735,-0.05047956
5.472,-79.2036648628,-7.0581984881,39.4581366575,0.0117972257,10.7527477785,0.5972594805,0.137088096,0.0735,-0.05047052
5.48,-81.8805408292,-6.9336214283,39.1847670167,-0.0801270184,11.0972450458,0.290942337,0.13752368,0.0735,-0.05046148
5.488,-80.5505399269,-5.740840384,43.2061015909,0.0709425884,11.0443101037,-0.0010004804,0.137959264,0.0735,-0.05045244
5.496,-82.1710269912,-3.5013633225,43.9006275919,0.1147432309,11.2312164473,-0.4327413668,0.138394848,0.0735,-0.0504434
5.504,-86.4649794269,-5.344453826,44.3021768375,-0.3742343906,11.8113731009,-0.7641512785,0.138830432,0.0735,-0.05043436
5.512,-78.4015587939,-1.0293684787,39.4661565171,0.27406883,10.7827824882,-0.7448448718,0.139266016,0.0735,-0.05042532
5.52,-82.6262781499,1.2962785702,40.6722049544,0.3930022862,11.2996812528,-0.9407411279,0.1397016,0.0735,-0.05041628
5.528,-87.3911279675,3.8317390683,39.6749741422,0.6697349208,11.8579846117,-1.2651239134,0.140137184,0.0735,-0.05040724
5.536,-88.5944302214,5.5815273249,40.4407666956,0.7655420889,11.8970893824,-1.7293991637,0.140572768,0.0735,-0.0503982
5.544,-82.61327224,2.4673593121,36.1829580252,0.2568838118,11.2168779262,-1.7517051923,0.141008352,0.0735,-0.05038916
5.552,-77.7727928715,2.9093306206,40.6282946319,0.2156796426,10.515647407,-1.0319799933,0.141443936,0.0735,-0.05038012
5.56,-80.7659938758,0.3813036063,43.6954589886,-0.2595978588,10.8885714115,-0.9472245542,0.14187952,0.0735,-0.05037108
5.568,-84.9495440111,-0.9330498859,43.6557790748,-0.6136855849,11.4282226382,-1.0544216948,0.142315104,0.0735,-0.05036204
5.576,-88.7556281016,-2.9843419028,43.9343904998,-1.0175428442,11.8369893119,-0.7848728723,0.142750688,0.0735,-0.050353
5.584,-80.2449543905,-5.4002031698,36.4945047497,-1.1537822815,10.6705543696,-0.1221620587,0.143186272,0.0735,-0.05034396
5.592,-82.0201513058,-2.6166354052,34.6924632331,-1.4038997332,11.0746745176,-1.0571091894,0.143621856,0.0735,-0.05033492
5.6,-76.4263311257,0.2598662715,34.0942000656,-1.0537459918,10.2972341787,-1.1147451364,0.14405744,0.0735,-0.05032588
5.608,-85.326479039,-3.1937887913,36.7008024904,-1.4208546787,11.4315793994,-0.9508458277,0.144493024,0.0735,-0.05031684
5.616,-88.1211478646,-3.4781032707,37.9427399255,-1.3641907241,11.8163869133,-0.8293255996,0.144928608,0.0735,-0.0503078
5.624,-88.7487284177,-2.3888483863,40.0371752776,-1.1358480331,11.8083853827,-0.7874830396,0.145364192,0.0735,-0.05029876
5.632,-90.4216888417,-2.8713760045,40.0474808556,-1.0876510098,12.0532590863,-0.7876254381,0.145799776,0.0735,-0.05028972
5.64,-95.2817451915,-2.7521788844,41.5047654769,-0.9171599949,12.6709922927,-0.6658219433,0.14623536,0.0735,-0.05028068
5.648,-98.4642203064,0.6353066582,44.2880219598,-0.3862159127,13.1588907617,-0.7490815517,0.146670944,0.0735,-0.05027164
5.656,-103.8462254072,1.7070262596,48.0852591618,0.0841834972,13.9486766794,-0.4271576507,0.147106528,0.0735,-0.0502626
5.664,-109.3395531025,3.1498403511,49.2234432789,0.4955251276,14.6481165916,-0.222149403,0.147542112,0.0735,-0.05025356
5.672,-110.5347840458,4.518462437,49.712976641,0.9697506153,14.7473080434,-0.1018903338,0.147977696,0.0735,-0.05024452
5.68,-108.5931273428,5.6996461598,52.8439756578,1.170777618,14.5479320945,0.051350135,0.14841328,0.0735,-0.05023548
5.688,-99.8488264336,9.568223121,50.8124919097,1.6859564206,13.4917303545,0.060955472,0.148848864,0.0735,-0.05022644
5.696,-94.7427988479,8.6933450848,55.6837575666,1.7406837884,12.8560257211,0.0702471481,0.149284448,0.0735,-0.0502174
5.704,-99.2544648271,7.6189141775,55.3441557676,1.753992461,13.34363894,0.1889028966,0.149720032,0.0735,-0.05020836
5.712,-99.230961607,10.7029112514,54.4880041289,1.6711063062,13.1815132464,-0.1246360396,0.150155616,0.0735,-0.05019932
5.72,-94.6244755972,6.4219165492,48.6779236231,0.778530598,12.509216778,-0.5854144325,0.1505912,0.0735,-0.05019028
5.728,-92.2707005618,7.1007366448,49.1052932357,0.7340612645,12.2476186101,-0.7371419059,0.151026784,0.0735,-0.05018124
5.736,-86.4453491018,6.5622499473,46.4635629089,0.7983862032,11.4840142206,-0.6375569914,0.151462368,0.0735,-0.0501722
5.744,-88.7501278927,5.4148149153,44.8675567259,0.6067099309,11.6552729388,-0.5967912077,0.151897952,0.0735,-0.05016316
5.752,-86.675570681,4.967485735,44.524759207,0.6777192586,11.4262433618,-0.781476276,0.152333536,0.0735,-0.05015412
5.76,-46.0191650072,6.3968401612,24.3245610713,0.7336052581,6.2626910802,-0.4165089232,0.1525513281,0.0735,-0.0501496
5.768,-31.7415523818,5.0138450266,12.7310047306,0.6418982259,4.1880106344,-0.2292543661,0.1525513284,0.0735,-0.0501495999
5.776,-28.4934399224,6.218255669,10.8539980557,0.6933020286,3.704565639,-0.2507213694,0.1525513286,0.0735,-0.0501495999
