t,Fx,Fy,Fz,Mx,My,Mz,Rx,Ry,Rz
6.568,-18.4925108932,0.9242905268,-15.431185518,0.0709626244,2.6283420567,-0.299573842,0.1151380979,0.0735,-0.0449032407
6.576,-16.8034642974,1.3193259609,-14.5944549268,0.1403308354,2.3809050722,-0.3332857363,0.1151380897,0.0735,-0.0449032266
6.584,-20.2272477548,0.6681722096,-14.0258359602,0.0516979705,2.8006250187,-0.4728534139,0.1151380814,0.0735,-0.0449032124
6.592,-22.1707836516,0.1294351875,-12.5169157124,-0.0343969256,2.9819520724,-0.4898812719,0.1151380731,0.0735,-0.0449031983
6.6,-23.633317643,-0.1843029084,-13.2825843853,-0.1321326979,3.1374686675,-0.428904245,0.1151380647,0.0735,-0.0449031843
6.608,-23.5087830478,-0.2943612522,-12.8397094272,-0.0776329071,3.1352957751,-0.3215451475,0.1151380563,0.0735,-0.0449031702
6.616,-17.906199793,-0.1167487367,-12.5239919735,-0.0037483921,2.4414445596,-0.0814598951,0.1151380479,0.0735,-0.0449031562
6.624,-21.039859927,-0.6916891486,-12.4410964128,-0.0640849781,2.822036903,-0.233971813,0.1151380394,0.0735,-0.0449031422
6.632,-23.4818541831,-1.3819824481,-12.4620767649,-0.1556875645,3.0815112764,-0.2620811675,0.1151380309,0.0735,-0.0449031282
6.64,-21.6564567817,-0.4417920262,-12.0176100734,-0.0072298703,2.8281434047,-0.2746488335,0.1151380224,0.0735,-0.0449031142
6.648,-19.7979791489,-0.6728022546,-12.8143586396,-0.100383764,2.6317622771,-0.3089743612,0.1151380138,0.0735,-0.0449031003
6.656,-19.2855594393,-2.4118027215,-11.9382788368,-0.3215504059,2.5367443462,-0.3246737572,0.1151380059,0.0735,-0.0449030877
6.664,-22.5834257877,-2.3179798377,-13.1422609921,-0.3212631178,2.9696107361,-0.3775429538,0.1151379989,0.0735,-0.0449030763
6.672,-23.0409472182,-1.847649447,-13.0124413668,-0.2757693028,3.0130978624,-0.3234550888,0.1151379918,0.0735,-0.044903065
6.68,-25.3423776632,-0.9966988886,-13.3900354975,-0.1678792079,3.3060261619,-0.3536247137,0.1151379847,0.0735,-0.0449030537
6.688,-25.7187568525,-0.0534546092,-13.2718239857,-0.030767864,3.3443502009,-0.3613725021,0.1151379775,0.0735,-0.0449030424
6.696,-27.8385931686,1.3001549242,-20.6513678567,-0.1398161244,4.0528734992,-0.1896346045,0.1151379703,0.0735,-0.0449030311
6.704,-26.7709815008,1.2167942578,-13.8191609996,0.0629927811,3.5111850915,-0.316208241,0.1151379631,0.0735,-0.0449030198
6.712,-25.4414741812,2.0158363131,-13.0449981267,0.1755009466,3.3055621333,-0.3049211625,0.1151379559,0.0735,-0.0449030086
6.72,-25.6971562152,1.6015564938,-13.2601075218,0.1635674644,3.355198423,-0.2601446853,0.1151379487,0.0735,-0.0449029974
6.728,-25.5748696204,2.3482061518,-13.1190987863,0.2669439593,3.3362325354,-0.2716629877,0.1151379414,0.0735,-0.0449029862
6.736,-25.5181608942,2.1069962648,-13.570312224,0.2053126759,3.3549698446,-0.212841812,0.1151379341,0.0735,-0.044902975
6.744,-27.1210615581,2.0514766496,-14.7848787926,0.2206124827,3.6178307717,-0.1598209726,0.1151379258,0.0735,-0.0449029623
6.752,-22.6778683223,2.6670004669,-13.5837971628,0.2860035091,3.0267914766,-0.1295979607,0.1151379165,0.0735,-0.0449029482
6.76,-25.9381151416,1.2632710064,-16.0977444816,0.0775709582,3.5651637334,-0.0035395936,0.1151379071,0.0735,-0.044902934
6.768,-22.220058415,-0.0640212758,-15.4428513564,-0.0427232373,3.0806761591,-0.037144856,0.1151378977,0.0735,-0.04490292
6.776,-21.2675329218,0.2528373888,-16.455525753,0.0113235559,3.0343531711,-0.0693395056,0.1151378882,0.0735,-0.0449029059
6.784,-23.5397801482,0.1472749663,-17.6197844653,-0.0356219857,3.3921268916,0.0152791022,0.1151378788,0.0735,-0.0449028919
