"Points:0","Points:1","Points:2"
0.016559,0.090434,-0.063861
0.019525,0.090434,-0.061896
0.018042,0.093516,-0.062878
0.077826,0.028874,-0.046532
0.077815,0.024989,-0.046832
0.077848,0.026471,-0.047462
0.047532,0.1327,-0.08706
0.045509,0.1327,-0.0835
0.043577,0.1327,-0.08694
-0.010886,0.0091484,-0.10917
-0.010709,0.0091284,-0.10599
-0.010806,0.0068119,-0.10745
0.063273,2.4765e-05,-0.12278
0.065079,1.8004e-05,-0.1264
0.067415,0.00011459,-0.12291
0.078149,0.093327,-0.051214
0.078023,0.095941,-0.04965
0.07805,0.093082,-0.048396
0.077691,0.077054,-0.070039
0.077727,0.079764,-0.068474
0.077763,0.077055,-0.06691
0.058104,0.033088,-0.08059
0.056396,0.030129,-0.080551
0.054688,0.033088,-0.080512
0.05637,0.1377,-0.068535
0.058571,0.1377,-0.064916
0.060605,0.1377,-0.068643
0.068426,0.098159,-0.080824
0.066636,0.095195,-0.080784
0.064916,0.098168,-0.080744
0.034198,0.074504,-0.080047
0.03249,0.071545,-0.080008
0.030782,0.074503,-0.07997
0.046197,0.028029,-0.1723
0.047906,0.031469,-0.17332
0.049615,0.028029,-0.17433
0.046048,0.039111,-0.045927
0.048474,0.039234,-0.045849
0.047266,0.041681,-0.045904
0.043337,0.005,-0.07592
0.045769,0.005,-0.078572
0.047743,0.005,-0.075609
0.014125,0.12997,-0.14167
0.017644,0.12985,-0.14374
0.016835,0.1327,-0.14326
0.026012,-7.5683e-08,-0.14313
0.028114,3.4166e-07,-0.14655
0.030077,1.5765e-08,-0.14324
0.076038,0.098751,-0.046706
0.077813,0.10082,-0.046834
0.074768,0.10134,-0.046598
0.02398,0.10714,-0.15915
0.025689,0.11058,-0.16016
0.027398,0.10714,-0.16118
0.00083127,0.1377,-0.13331
0.0038847,0.1377,-0.13191
0.0038574,0.1377,-0.13538
0.033591,0.10374,-0.15314
0.030317,0.10374,-0.15121
0.031954,0.10045,-0.15217
0.012017,0.076185,-0.15207
0.013726,0.079625,-0.15308
0.015435,0.076185,-0.15409
0.014217,0.1377,-0.12166
0.010131,0.1377,-0.12157
0.012254,0.1377,-0.11808
0.03139,0.028811,-0.054037
0.028424,0.02881,-0.056002
0.029907,0.025729,-0.05502
0.02377,0.070837,-0.14735
0.020497,0.070837,-0.14542
0.022133,0.067547,-0.14639
0.036444,1.5639e-10,-0.13279
0.034482,1.4996e-10,-0.1292
0.032359,1.7523e-10,-0.13269
-0.010276,0.1327,-0.13699
-0.0075283,0.1327,-0.13967
-0.0096937,0.13419,-0.13749
0.036605,0.005,-0.12571
0.032519,0.005,-0.12562
0.034642,0.005,-0.12213
-0.010569,0.01722,-0.10447
-0.010844,0.017221,-0.10759
-0.010665,0.019936,-0.10603
0.075144,0.1327,-0.079502
0.077443,0.1327,-0.081028
0.077529,0.1327,-0.077196
0.070097,0.11677,-0.18055
0.070132,0.11925,-0.17909
0.070207,0.11672,-0.17756
0.076348,0.00017649,-0.061198
0.075293,9.084e-05,-0.058041
0.073451,6.8134e-06,-0.061552
-0.0055516,0.057941,-0.1268
-0.0072478,0.057942,-0.12417
-0.0065099,0.055227,-0.12555
0.053566,0.13515,-0.17635
0.051686,0.13633,-0.17513
0.050954,0.13475,-0.17468
0.041453,5.3562e-08,-0.071827
0.043447,1.7516e-09,-0.07591
0.045681,-1.0292e-08,-0.071939
-0.0046235,0.12038,-0.12806
-0.0065102,0.12038,-0.12555
-0.0055755,0.11767,-0.12681
-0.0071815,0.052512,-0.12413
-0.0085442,0.052512,-0.12132
-0.008022,0.049797,-0.12281
0.074188,0.07006,-0.080937
0.075,0.072081,-0.08089
0.075795,0.070036,-0.080769
0.019525,0.11508,-0.061896
0.016559,0.11508,-0.063861
0.018042,0.112,-0.062878
0.077331,0.13486,-0.07636
0.077501,0.13732,-0.073632
0.077549,0.13489,-0.073402
0.021974,0.1327,-0.14285
0.020173,0.1327,-0.14523
0.024149,0.1327,-0.14618
0.0017556,0.05516,-0.13424
0.0010106,0.052407,-0.13363
0.0033951,0.053109,-0.13535
-0.0027641,0.056525,-0.07666
0.00024988,0.056543,-0.074663
-0.0012297,0.059619,-0.075643
0.077159,0.11312,-0.080734
0.077152,0.11713,-0.080717
0.077249,0.11504,-0.078817
0.053106,0.1327,-0.11901
0.051144,0.1327,-0.11542
0.049021,0.1327,-0.11891
-0.0012648,0.1352,-0.14421
-0.001514,0.1327,-0.14406
-0.001514,0.1352,-0.14406
0.077627,0.077061,-0.073159
0.077576,0.07431,-0.074742
0.077535,0.077004,-0.076255
0.034198,0.039004,-0.080047
0.035906,0.041963,-0.080086
0.037613,0.039004,-0.080125
0.061516,0.12184,-0.080667
0.059811,0.11888,-0.080628
0.058103,0.12184,-0.08059
0.037613,0.044921,-0.080125
0.03932,0.047879,-0.080163
0.041028,0.044921,-0.080202
0.066478,0.01165,-0.1725
0.068721,0.011456,-0.17403
0.067856,0.014953,-0.1735
0.067848,0.13486,-0.18509
0.066778,0.13125,-0.18441
0.065022,0.13456,-0.18345
0.031374,0.0048821,-0.15932
0.033622,0.0047013,-0.16267
0.035114,0.0050277,-0.15985
0.030537,0.0054968,-0.15134
0.034008,0.0061283,-0.15338
0.031999,0.0084279,-0.1522
0.055873,6.1829e-08,-0.1619
0.058056,1.712e-06,-0.16476
0.060262,4.7149e-06,-0.1617
0.073625,0.12582,-0.046409
0.070416,0.12584,-0.046369
0.071954,0.12311,-0.046406
0.058514,0.1377,-0.15099
0.06256,0.13769,-0.15108
0.060488,0.1377,-0.15456
0.020562,0.024589,-0.15713
0.022271,0.028029,-0.15814
0.02398,0.024589,-0.15915
0.049757,4.8751e-05,-0.17408
0.047033,0.0011919,-0.17239
0.0495,0.0011917,-0.17401
0.0385,0.12019,-0.15603
0.035229,0.12019,-0.1541
0.036865,0.1169,-0.15507
0.071977,0.079808,-0.046405
0.06887,0.079806,-0.046325
0.070444,0.07709,-0.046351
-0.001514,0.032934,-0.14406
-0.001514,0.036925,-0.14406
0.0016292,0.034914,-0.14592
0.002437,0.1377,-0.10016
0.006527,0.1377,-0.10025
0.004405,0.1377,-0.10374
0.0032109,0.031892,-0.072702
0.0061772,0.031892,-0.070737
0.0046945,0.034973,-0.071719
0.020497,0.037933,-0.14542
